run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.23852665442056,18.698592516005377
2,1.0,19.30493221485541,18.762565062679037
3,1.0,19.21399122233436,18.70619956460732
4,1.0,19.21514704279303,18.695216695531613
5,1.0,19.090816610100575,18.579612708028463
6,1.0,19.21754363331562,18.688613298489038
7,1.0,19.750674825569263,19.220279488056256
8,1.0,19.387548234378798,18.85118054267574
9,1.0,19.270081104142434,18.74867691327234
10,1.0,19.09039889222148,18.563518003340356
11,0.6065761532401006,18.313041349952577,17.75157807950922
12,0.3679346296795588,17.876019401657867,17.35503584129421
13,0.22318037231484725,17.415766887084896,16.89796460449245
14,0.13537589171743386,13.672021060448479,13.165760663351135
15,0.08211578763940967,14.257897453212795,13.761738611785155
16,0.05,13.543528590041321,13.037536269807406
17,0.05,14.101819139840147,13.589191917870382
18,0.05,13.186172056301725,12.677952459946852
19,0.05,13.32449453608527,12.813538250442772
20,0.05,12.917411300966734,12.397576072589665
21,0.05,11.665076097923563,11.163327911019667
22,0.05,12.01562919146244,11.51497243014716
23,0.05,11.485588213602398,10.97615623448987
24,0.05,12.446781626053314,11.943327834442647
25,0.05,12.336787090950754,11.839059082946838
26,0.05,12.160214934754398,11.658783927512935
27,0.05,12.274513264527606,11.773622812268698
28,0.05,13.23788716031336,12.731023167059066
29,0.05,12.475989927464076,11.977882395193868
30,0.05,12.354181940989086,11.856146695296312
31,0.05,11.783481470109352,11.276906548615313
32,0.05,12.46560453144655,11.96120368621592
33,0.05,13.103366669607638,12.606337245470481
34,0.05,12.685571090059426,12.184204115809496
35,0.05,12.290023863568917,11.791813835810412
36,0.05,12.039231381200011,11.54143097064656
37,0.05,12.448554783805106,11.952037821911215
38,0.05,12.112755887645221,11.614694529633946
39,0.05,12.24460812786134,11.726751223827218
40,0.05,12.343896040781125,11.84208315616826
41,0.05,12.772686442048013,12.271118060990508
42,0.05,12.602448717821227,12.097182252431535
43,0.05,12.345764949237106,11.839260882183977
44,0.05,12.895585864988561,12.401758084608455
45,0.05,14.67100087591921,14.160827536810997
46,0.05,12.36352147643207,11.854569692867175
47,0.05,12.338269646020363,11.833065555977724
48,0.05,12.260151945054341,11.753130193608397
49,0.05,13.521897912194499,13.00124592413726
50,0.05,13.009136791935292,12.510220085510502
