run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.425548318010176,18.900365328880465
2,1.0,19.524309292688848,19.021910198183644
3,1.0,19.32828770931994,18.795082627139873
4,1.0,19.589577436660104,19.067861847545725
5,1.0,19.35012718839849,18.825214225159037
6,1.0,19.299629504633696,18.71670271827159
7,1.0,19.23973392914338,18.726059330043622
8,1.0,19.465865432933565,18.9462989860973
9,1.0,19.480581538457994,18.96136372757194
10,1.0,18.885902882859796,18.351421430349603
11,0.6065761532401006,18.071785703566842,17.55335705032814
12,0.3679346296795588,17.23589564748578,16.731727240789148
13,0.22318037231484725,17.331494552889684,16.807141801986855
14,0.13537589171743386,15.22368486992009,14.710674791694935
15,0.08211578763940967,17.36117367865171,16.845077797649676
16,0.05,17.12630387619556,16.615317695850248
17,0.05,14.880795544263004,14.383528779642518
18,0.05,14.70573940178959,14.204836603621581
19,0.05,15.64036726253078,15.130777949696709
20,0.05,15.637851032208008,15.128228872291988
21,0.05,14.12229339263445,13.625773305365973
22,0.05,14.217604044785558,13.714770887863718
23,0.05,14.024886579100992,13.504348431964189
24,0.05,14.346100366945475,13.842171410085562
25,0.05,14.052003148558859,13.555974008120176
26,0.05,14.038640744865122,13.51813529635461
27,0.05,14.118552344106284,13.599975362615309
28,0.05,14.067232470116641,13.552438007312887
29,0.05,14.092691019957043,13.584237813535044
30,0.05,14.098515979567594,13.588994343911004
31,0.05,14.02662167310751,13.526949822477134
32,0.05,14.161661623801661,13.6589450917226
33,0.05,14.034731457454466,13.536646829428907
34,0.05,14.151796902067964,13.644925708980052
35,0.05,14.083503339278716,13.58073059650507
36,0.05,14.062058404686546,13.553989515887018
37,0.05,13.97874068724729,13.466842835936946
38,0.05,14.08929967115441,13.587429153856304
39,0.05,14.060465425339217,13.552070309967256
40,0.05,13.981065579470512,13.478849379997099
41,0.05,14.01782637141156,13.519362994572235
42,0.05,14.218334405831332,13.69981380570602
43,0.05,14.0842790214141,13.576190385085022
44,0.05,14.110906847072446,13.600879609279975
45,0.05,14.273398755392604,13.773895730574372
46,0.05,14.220659037534059,13.722119628601535
47,0.05,14.126073335332293,13.612903415516804
48,0.05,14.1285707283868,13.61015711135554
49,0.05,14.05965863999648,13.550364859066136
50,0.05,13.89042639036667,13.385265020685509
