run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.38231154699573,18.850649709723022
2,1.0,19.36086941741874,18.805168720250087
3,1.0,19.38205416614644,18.8275044810015
4,1.0,19.361856277863268,18.85135758097971
5,1.0,19.40021743349953,18.848553645258995
6,1.0,19.21489820894429,18.693372498712332
7,1.0,19.286648705202307,18.760624233042257
8,1.0,19.4833370578034,18.92997922988589
9,1.0,19.027237405635066,18.50477335984397
10,1.0,19.20702046080375,18.685570678814578
11,0.6065761532401006,18.537629814041683,17.987968511617673
12,0.3679346296795588,17.212582048949816,16.706071374868827
13,0.22318037231484725,16.39586478781719,15.891416451984428
14,0.13537589171743386,14.858572871806473,14.350296555334582
15,0.08211578763940967,14.725761382149066,14.210690320927135
16,0.05,15.363410261031733,14.852044410175
17,0.05,15.876927578499378,15.365757770194701
18,0.05,16.854490234015064,16.342179365357133
19,0.05,16.080607872528002,15.573846525920409
20,0.05,15.585120654072396,15.058599697544839
21,0.05,15.011923222787475,14.496621406418827
22,0.05,15.401428578591734,14.89266918343466
23,0.05,17.103451281085412,16.590784994880373
24,0.05,16.17158793026302,15.656008020176316
25,0.05,16.48935863019749,15.9796745532975
26,0.05,16.622227124739137,16.10056892368249
27,0.05,16.986921007701,16.493370828631583
28,0.05,17.687908577604656,17.153368032725645
29,0.05,16.349975965519636,15.829185215273904
30,0.05,16.549113934258965,16.0472727593277
31,0.05,17.55838076884342,17.04620828425822
32,0.05,16.559108139813194,16.028121284871425
33,0.05,16.159332786880295,15.654061462529816
34,0.05,15.555804703594756,15.04862718737218
35,0.05,15.504795396070628,14.981646553961532
36,0.05,15.071692607410345,14.574310309141406
37,0.05,15.17029049162671,14.645074854745026
38,0.05,13.888917454357504,13.367566781161516
39,0.05,14.992370942755803,14.486765450865176
40,0.05,18.49750845655179,17.983935946221017
41,0.05,17.749144793915637,17.234394656598592
42,0.05,17.970810578483164,17.461946248808683
43,0.05,19.191068414648633,18.68350005150953
44,0.05,18.426884929949523,17.890026161248066
45,0.05,16.811369549493705,16.295320396073663
46,0.05,16.059985450393878,15.543866171095775
47,0.05,16.09720391160855,15.593173101969075
48,0.05,17.393985321437256,16.861038676720646
49,0.05,17.190229089218597,16.602000276295794
50,0.05,17.776407549222785,17.271357878410665
